config,problem,seed,score,elapsed_s
sa,medium-graph,11,-1611631,14.34
sa_amosa,medium-graph,1,-1599788,14.37
sa_amosa,medium-graph,2,-1608027,14.26
sa_amosa,medium-graph,3,-1592874,14.44
sa_amosa,medium-graph,4,-1610115,14.31
sa_amosa,medium-graph,5,-1609252,14.41
sa_amosa,medium-graph,6,-1602484,14.35
sa_amosa,medium-graph,7,-1583310,14.30
sa_amosa,medium-graph,8,-1592800,14.37
sa_amosa,medium-graph,9,-1600965,14.33
sa_amosa,medium-graph,10,-1608027,14.36
sa_amosa,medium-graph,11,-1609690,14.31
grasp,medium-graph,1,-1609692,12.06
grasp,medium-graph,2,-1613178,12.06
grasp,medium-graph,3,-1609734,12.06
grasp,medium-graph,4,-1604078,12.04
grasp,medium-graph,5,-1610396,12.05
grasp,medium-graph,6,-1607398,12.05
grasp,medium-graph,7,-1607394,12.07
grasp,medium-graph,8,-1608607,12.04
grasp,medium-graph,9,-1596309,12.05
grasp,medium-graph,10,-1607219,12.06
grasp,medium-graph,11,-1616967,12.04
grasp_pr,medium-graph,1,-1609404,12.61
grasp_pr,medium-graph,2,-1610279,12.71
grasp_pr,medium-graph,3,-1596637,12.21
grasp_pr,medium-graph,4,-1603859,12.71
grasp_pr,medium-graph,5,-1595188,12.18
grasp_pr,medium-graph,6,-1605975,12.37
grasp_pr,medium-graph,7,-1607284,12.27
grasp_pr,medium-graph,8,-1596092,12.05
grasp_pr,medium-graph,9,-1603409,12.05
grasp_pr,medium-graph,10,-1597515,12.41
grasp_pr,medium-graph,11,-1589705,12.11
vns,medium-graph,1,-1607475,13.10
vns,medium-graph,2,-1615578,13.09
vns,medium-graph,3,-1600748,13.14
vns,medium-graph,4,-1615483,13.10
vns,medium-graph,5,-1615501,13.10
vns,medium-graph,6,-1608653,13.11
vns,medium-graph,7,-1591695,13.10
vns,medium-graph,8,-1603082,13.14
vns,medium-graph,9,-1608651,13.12
vns,medium-graph,10,-1615488,13.11
vns,medium-graph,11,-1615273,13.12
vns_vnd,medium-graph,1,-1607515,13.09
vns_vnd,medium-graph,2,-1615492,13.11
vns_vnd,medium-graph,3,-1602255,13.12
vns_vnd,medium-graph,4,-1615491,13.10
vns_vnd,medium-graph,5,-1615491,13.11
vns_vnd,medium-graph,6,-1608643,13.16
vns_vnd,medium-graph,7,-1591705,13.09
vns_vnd,medium-graph,8,-1600961,13.12
vns_vnd,medium-graph,9,-1608627,13.13
vns_vnd,medium-graph,10,-1618405,13.09
vns_vnd,medium-graph,11,-1615491,13.10
aco,medium-graph,1,-1500807,12.71
aco,medium-graph,2,-1505443,12.46
aco,medium-graph,3,-1493079,12.16
aco,medium-graph,4,-1500660,12.76
aco,medium-graph,5,-1498084,12.45
aco,medium-graph,6,-1503236,12.07
aco,medium-graph,7,-1516483,12.70
aco,medium-graph,8,-1510966,12.85
aco,medium-graph,9,-1504413,12.11
aco,medium-graph,10,-1492566,12.18
aco,medium-graph,11,-1514054,12.48
aco_mmas,medium-graph,1,-1493743,12.86
aco_mmas,medium-graph,2,-1487192,12.32
aco_mmas,medium-graph,3,-1501616,12.75
aco_mmas,medium-graph,4,-1502941,12.88
aco_mmas,medium-graph,5,-1500733,12.59
aco_mmas,medium-graph,6,-1503678,12.04
aco_mmas,medium-graph,7,-1516483,12.95
aco_mmas,medium-graph,8,-1510966,12.06
aco_mmas,medium-graph,9,-1510449,12.66
aco_mmas,medium-graph,10,-1503089,12.33
aco_mmas,medium-graph,11,-1514054,12.03
aco_ls,medium-graph,1,-1473876,13.57
aco_ls,medium-graph,2,-1501817,15.32
aco_ls,medium-graph,3,-1489388,15.83
aco_ls,medium-graph,4,-1508277,15.09
aco_ls,medium-graph,5,-1500532,14.74
aco_ls,medium-graph,6,-1469176,19.57
aco_ls,medium-graph,7,-1467372,17.58
aco_ls,medium-graph,8,-1503975,14.69
aco_ls,medium-graph,9,-1514514,18.74
aco_ls,medium-graph,10,-1494041,15.19
aco_ls,medium-graph,11,-1523994,14.18
aco_mmas_ls,medium-graph,1,-1473876,13.35
aco_mmas_ls,medium-graph,2,-1501817,15.15
aco_mmas_ls,medium-graph,3,-1489388,15.97
aco_mmas_ls,medium-graph,4,-1508277,15.17
aco_mmas_ls,medium-graph,5,-1500532,15.25
aco_mmas_ls,medium-graph,6,-1469176,19.94
aco_mmas_ls,medium-graph,7,-1467372,17.41
aco_mmas_ls,medium-graph,8,-1503975,14.63
aco_mmas_ls,medium-graph,9,-1514514,18.93
aco_mmas_ls,medium-graph,10,-1494041,15.45
aco_mmas_ls,medium-graph,11,-1523994,14.12
nsga2,medium-graph,1,-1594194,21.69
nsga2,medium-graph,2,-1589195,20.02
nsga2,medium-graph,3,-1590021,25.23
nsga2,medium-graph,4,-1589195,17.62
nsga2,medium-graph,5,-1589195,20.58
nsga2,medium-graph,6,-1589195,21.19
nsga2,medium-graph,7,-1594050,20.15
nsga2,medium-graph,8,-1589195,20.97
nsga2,medium-graph,9,-1589343,25.63
nsga2,medium-graph,10,-1589195,27.30
nsga2,medium-graph,11,-1590744,22.32
sms,medium-graph,1,-1589269,20.22
sms,medium-graph,2,-1595085,27.64
sms,medium-graph,3,-1589195,24.16
sms,medium-graph,4,-1590951,24.80
sms,medium-graph,5,-1596954,26.35
sms,medium-graph,6,-1591264,22.49
sms,medium-graph,7,-1589540,24.37
sms,medium-graph,8,-1589195,27.02
sms,medium-graph,9,-1589268,16.04
sms,medium-graph,10,-1591068,23.03
sms,medium-graph,11,-1590109,20.30
nsga2_ls,medium-graph,1,-1592538,22.03
nsga2_ls,medium-graph,2,-1589195,16.14
nsga2_ls,medium-graph,3,-1589195,17.48
nsga2_ls,medium-graph,4,-1589195,15.22
nsga2_ls,medium-graph,5,-1589195,18.57
nsga2_ls,medium-graph,6,-1589195,22.25
nsga2_ls,medium-graph,7,-1589195,14.63
nsga2_ls,medium-graph,8,-1589195,17.85
nsga2_ls,medium-graph,9,-1589195,16.14
nsga2_ls,medium-graph,10,-1589195,16.23
nsga2_ls,medium-graph,11,-1589195,16.47
sms_ls,medium-graph,1,-1592538,22.18
sms_ls,medium-graph,2,-1589195,16.55
sms_ls,medium-graph,3,-1589195,16.10
sms_ls,medium-graph,4,-1589195,15.40
sms_ls,medium-graph,5,-1591867,24.12
sms_ls,medium-graph,6,-1589195,22.50
sms_ls,medium-graph,7,-1589195,14.81
sms_ls,medium-graph,8,-1589195,17.75
sms_ls,medium-graph,9,-1589195,16.69
sms_ls,medium-graph,10,-1589195,17.16
sms_ls,medium-graph,11,-1589195,17.26
hc9,large-graph,1,-4793492,28.17
hc9,large-graph,2,-4792181,28.17
hc9,large-graph,3,-4802474,28.19
hc9,large-graph,4,-4793051,28.15
hc9,large-graph,5,-4800632,28.13
hc9,large-graph,6,-4793363,28.17
hc9,large-graph,7,-4793393,28.18
hc9,large-graph,8,-4793582,28.19
hc9,large-graph,9,-4800670,28.21
hc9,large-graph,10,-4792739,28.19
hc9,large-graph,11,-4793621,28.16
sa,large-graph,1,-4796439,32.94
sa,large-graph,2,-4787281,33.13
sa,large-graph,3,-4811228,32.80
sa,large-graph,4,-4814644,33.36
sa,large-graph,5,-4792210,32.62
sa,large-graph,6,-4782988,32.60
sa,large-graph,7,-4781011,32.63
sa,large-graph,8,-4817592,32.87
sa,large-graph,9,-4791785,33.30
sa,large-graph,10,-4788351,32.98
sa,large-graph,11,-4812587,32.88
sa_amosa,large-graph,1,-4768725,32.79
sa_amosa,large-graph,2,-4768725,33.04
sa_amosa,large-graph,3,-4768725,32.69
sa_amosa,large-graph,4,-4772862,33.37
sa_amosa,large-graph,5,-4768725,32.53
sa_amosa,large-graph,6,-4768725,32.61
sa_amosa,large-graph,7,-4770391,32.59
sa_amosa,large-graph,8,-4768725,32.74
sa_amosa,large-graph,9,-4770650,33.24
sa_amosa,large-graph,10,-4768725,32.86
sa_amosa,large-graph,11,-4770472,32.85
grasp,large-graph,1,-4917735,26.80
grasp,large-graph,2,-5009378,25.29
grasp,large-graph,3,-4907545,25.30
grasp,large-graph,4,-4937185,26.72
grasp,large-graph,5,-4904794,26.76
grasp,large-graph,6,-4928424,26.61
grasp,large-graph,7,-4902948,25.29
grasp,large-graph,8,-4911273,26.78
grasp,large-graph,9,-4941514,25.33
grasp,large-graph,10,-4986283,26.80
grasp,large-graph,11,-5008240,26.41
grasp_pr,large-graph,1,-4929766,26.82
grasp_pr,large-graph,2,-4830448,26.65
grasp_pr,large-graph,3,-4891435,26.95
grasp_pr,large-graph,4,-4922237,25.35
grasp_pr,large-graph,5,-5011298,25.31
grasp_pr,large-graph,6,-5124492,25.33
grasp_pr,large-graph,7,-4901153,26.68
grasp_pr,large-graph,8,-4908413,25.34
grasp_pr,large-graph,9,-4792113,26.56
grasp_pr,large-graph,10,-4889973,27.37
grasp_pr,large-graph,11,-4889627,27.36
vns,large-graph,1,-4793512,28.07
vns,large-graph,2,-4793476,28.11
vns,large-graph,3,-4793325,28.04
vns,large-graph,4,-4792482,28.07
vns,large-graph,5,-4797569,28.08
vns,large-graph,6,-4797873,28.07
vns,large-graph,7,-4800209,28.11
vns,large-graph,8,-4798071,28.10
vns,large-graph,9,-4793387,28.11
vns,large-graph,10,-4793335,28.09
vns,large-graph,11,-4808124,28.10
vns_vnd,large-graph,1,-4768725,28.03
vns_vnd,large-graph,2,-4793235,28.11
vns_vnd,large-graph,3,-4770948,28.04
vns_vnd,large-graph,4,-4793381,28.07
vns_vnd,large-graph,5,-4793535,28.09
vns_vnd,large-graph,6,-4782378,28.02
vns_vnd,large-graph,7,-4790285,28.12
vns_vnd,large-graph,8,-4794745,28.05
vns_vnd,large-graph,9,-4792427,28.11
vns_vnd,large-graph,10,-4792626,28.09
vns_vnd,large-graph,11,-4792832,28.05
aco,large-graph,1,-0,26.56
aco,large-graph,2,-0,26.32
aco,large-graph,3,-0,26.60
aco,large-graph,4,-0,26.49
aco,large-graph,5,-0,26.47
aco,large-graph,6,-0,26.05
aco,large-graph,7,-0,25.54
aco,large-graph,8,-0,26.48
aco,large-graph,9,-0,26.58
aco,large-graph,10,-0,26.26
aco,large-graph,11,-0,26.64
aco_mmas,large-graph,1,-0,26.48
aco_mmas,large-graph,2,-0,26.22
aco_mmas,large-graph,3,-0,26.55
aco_mmas,large-graph,4,-0,25.24
aco_mmas,large-graph,5,-0,25.43
aco_mmas,large-graph,6,-0,26.26
aco_mmas,large-graph,7,-0,26.44
aco_mmas,large-graph,8,-0,26.38
aco_mmas,large-graph,9,-0,25.58
aco_mmas,large-graph,10,-0,26.49
aco_mmas,large-graph,11,-0,26.53
aco_ls,large-graph,1,-4670050,26.86
aco_ls,large-graph,2,-4670050,25.52
aco_ls,large-graph,3,-4670050,27.50
aco_ls,large-graph,4,-4670050,26.64
aco_ls,large-graph,5,-4670050,26.24
aco_ls,large-graph,6,-4670050,28.20
aco_ls,large-graph,7,-4670050,26.15
aco_ls,large-graph,8,-4670050,28.79
aco_ls,large-graph,9,-4670050,27.13
aco_ls,large-graph,10,-4670050,26.30
aco_ls,large-graph,11,-4670050,27.02
aco_mmas_ls,large-graph,1,-4670050,26.53
aco_mmas_ls,large-graph,2,-4670050,25.29
aco_mmas_ls,large-graph,3,-4670050,27.47
aco_mmas_ls,large-graph,4,-4670050,26.26
aco_mmas_ls,large-graph,5,-4670050,25.70
aco_mmas_ls,large-graph,6,-4670050,28.21
aco_mmas_ls,large-graph,7,-4670050,26.97
aco_mmas_ls,large-graph,8,-4670050,28.68
aco_mmas_ls,large-graph,9,-4670050,25.81
aco_mmas_ls,large-graph,10,-4670050,27.27
aco_mmas_ls,large-graph,11,-4670050,27.27
nsga2,large-graph,1,-4768975,36.91
nsga2,large-graph,2,-4784037,36.75
nsga2,large-graph,3,-4770512,28.14
nsga2,large-graph,4,-4790891,35.22
nsga2,large-graph,5,-4774212,36.41
nsga2,large-graph,6,-4776381,47.05
nsga2,large-graph,7,-4788121,40.59
nsga2,large-graph,8,-4782380,41.58
nsga2,large-graph,9,-4768725,34.64
nsga2,large-graph,10,-4786305,39.64
nsga2,large-graph,11,-4784165,42.65
sms,large-graph,1,-4768725,32.31
sms,large-graph,2,-4770639,34.25
sms,large-graph,3,-4781235,34.90
sms,large-graph,4,-4774467,39.58
sms,large-graph,5,-4770512,39.52
sms,large-graph,6,-4772809,41.73
sms,large-graph,7,-4768725,35.78
sms,large-graph,8,-4768980,32.39
sms,large-graph,9,-4778679,38.14
sms,large-graph,10,-4782378,34.23
sms,large-graph,11,-4774752,39.63
nsga2_ls,large-graph,1,-4768725,28.33
nsga2_ls,large-graph,2,-4768725,30.34
nsga2_ls,large-graph,3,-4768725,30.58
nsga2_ls,large-graph,4,-4768725,32.53
nsga2_ls,large-graph,5,-4781444,35.00
nsga2_ls,large-graph,6,-4768725,29.01
nsga2_ls,large-graph,7,-4768725,30.18
nsga2_ls,large-graph,8,-4768725,28.14
nsga2_ls,large-graph,9,-4768725,27.72
nsga2_ls,large-graph,10,-4768725,29.80
nsga2_ls,large-graph,11,-4768725,29.27
sms_ls,large-graph,1,-4768725,28.69
sms_ls,large-graph,2,-4768725,28.10
sms_ls,large-graph,3,-4781062,36.05
sms_ls,large-graph,4,-4768725,31.13
sms_ls,large-graph,5,-4775092,34.56
sms_ls,large-graph,6,-4768725,29.77
sms_ls,large-graph,7,-4768725,30.24
sms_ls,large-graph,8,-4768725,28.51
sms_ls,large-graph,9,-4782298,37.59
sms_ls,large-graph,10,-4768725,31.34
sms_ls,large-graph,11,-4768725,31.04
